,poi,salary,to_messages,deferral_payments,total_payments,exercised_stock_options,bonus,restricted_stock,shared_receipt_with_poi,restricted_stock_deferred,total_stock_value,expenses,loan_advances,from_messages,other,from_this_person_to_poi,director_fees,deferred_income,long_term_incentive,from_poi_to_this_person
0,0.0,201955.0,2902.0,2869717.0,4484442.0,1729541.0,4175000.0,126027.0,1407.0,-126027.0,1729541.0,13868.0,0.0,2195.0,152.0,65.0,0.0,-3081055.0,304805.0,47.0
1,0.0,0.0,0.0,178980.0,182466.0,257817.0,0.0,0.0,0.0,0.0,257817.0,3486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,477.0,566.0,0.0,916197.0,4046157.0,0.0,1757552.0,465.0,-560222.0,5243487.0,56301.0,0.0,29.0,864523.0,0.0,0.0,-5104.0,0.0,39.0
3,0.0,267102.0,0.0,1295738.0,5634343.0,6680544.0,1200000.0,3942714.0,0.0,0.0,10623258.0,11200.0,0.0,0.0,2660303.0,0.0,0.0,-1386055.0,1586055.0,0.0
4,0.0,239671.0,0.0,260455.0,827696.0,0.0,400000.0,145796.0,0.0,-82782.0,63014.0,129142.0,0.0,0.0,69.0,0.0,0.0,-201641.0,0.0,0.0
5,0.0,80818.0,0.0,684694.0,860136.0,1599641.0,0.0,0.0,0.0,0.0,1599641.0,0.0,0.0,0.0,874.0,0.0,0.0,0.0,93750.0,0.0
6,0.0,231330.0,7315.0,0.0,969068.0,0.0,700000.0,126027.0,2639.0,0.0,126027.0,37172.0,0.0,4343.0,566.0,386.0,0.0,0.0,0.0,144.0
7,1.0,213999.0,7991.0,2144013.0,5501630.0,953136.0,5249999.0,157569.0,5521.0,0.0,1110705.0,17355.0,0.0,484.0,210698.0,108.0,0.0,-2334434.0,0.0,228.0
8,0.0,0.0,0.0,-102500.0,102500.0,3285.0,0.0,0.0,0.0,44093.0,-44093.0,0.0,0.0,0.0,0.0,0.0,3285.0,0.0,0.0,0.0
9,0.0,216582.0,0.0,0.0,228474.0,1624396.0,0.0,869220.0,0.0,0.0,2493616.0,11892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,187922.0,383.0,0.0,618850.0,0.0,250000.0,659249.0,233.0,0.0,659249.0,59175.0,0.0,59.0,427316.0,0.0,0.0,-485813.0,180250.0,4.0
11,0.0,0.0,523.0,0.0,15456290.0,2604490.0,0.0,-2604490.0,463.0,15456290.0,0.0,0.0,0.0,29.0,137864.0,1.0,137864.0,0.0,0.0,0.0
12,0.0,213625.0,1607.0,0.0,2047593.0,1465734.0,1000000.0,378082.0,1336.0,0.0,1843816.0,38559.0,0.0,40.0,425688.0,8.0,0.0,0.0,369721.0,23.0
13,0.0,248546.0,2475.0,0.0,2014835.0,765313.0,850000.0,189041.0,2326.0,0.0,954354.0,84208.0,0.0,14.0,272.0,2.0,0.0,0.0,831809.0,25.0
14,0.0,0.0,0.0,0.0,1279.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,0.0,0.0,0.0,0.0,113784.0,-113784.0,0.0,0.0
